match_id,game_version,queue_id,game_duration,game_mode,team1_win,team1_ban_1,team1_ban_2,team1_ban_3,team1_ban_4,team1_ban_5,team2_win,team2_ban_1,team2_ban_2,team2_ban_3,team2_ban_4,team2_ban_5,team1_top,team1_jungle,team1_mid,team1_adc,team1_support,team2_top,team2_jungle,team2_mid,team2_adc,team2_support,target,has_complete_positions
EUW1_7621357091,15.23.728.3286,420,1271,CLASSIC,1,800,904,432,246,107,0,36,39,98,7,78,897,421,238,143,555,2,200,84,202,517,1,True
EUW1_7621375742,15.23.728.3286,420,2031,CLASSIC,1,27,555,107,58,7,0,21,35,517,107,799,875,246,84,81,43,150,54,157,800,432,1,True
EUW1_7621382927,15.23.728.3286,420,971,CLASSIC,1,904,126,-1,78,246,0,904,24,432,13,91,74,107,134,804,526,157,517,133,523,12,1,True
EUW1_7621389550,15.23.728.3286,420,1443,CLASSIC,1,800,517,421,432,105,0,234,7,555,119,122,68,200,893,145,111,79,35,126,804,40,1,True
EUW1_7621396473,15.23.728.3286,420,1693,CLASSIC,0,800,126,904,555,517,1,799,55,98,246,904,27,266,142,21,99,5,30,7,804,432,0,True
EUW1_7621399451,15.23.728.3286,420,1860,CLASSIC,1,904,107,43,36,92,0,91,58,7,246,81,122,234,134,518,897,42,517,157,800,53,1,True
EUW1_7621430086,15.23.728.3286,420,1319,CLASSIC,0,-1,133,432,517,134,1,90,36,904,800,126,777,54,61,804,78,74,266,103,145,526,0,True
EUW1_7621437696,15.23.728.3286,420,1702,CLASSIC,1,13,517,804,122,518,0,61,91,555,904,246,79,245,133,81,16,126,54,238,51,99,1,True
EUW1_7621455666,15.23.728.3286,420,1596,CLASSIC,1,432,246,904,517,17,0,20,904,84,24,800,114,120,90,804,111,157,799,777,147,60,1,True
EUW1_7621458961,15.23.728.3286,420,1252,CLASSIC,1,37,119,238,92,246,0,799,103,78,92,800,893,31,64,67,432,518,904,41,22,201,1,True
EUW1_7621466700,15.23.728.3286,420,2011,CLASSIC,1,517,800,90,80,74,0,-1,107,134,74,517,799,120,142,21,526,904,246,61,236,902,1,True
EUW1_7621475626,15.23.728.3286,420,2416,CLASSIC,0,134,-1,238,126,92,1,107,238,432,76,98,122,246,69,51,74,517,120,8,202,497,0,True
EUW1_7621492234,15.23.728.3286,420,1627,CLASSIC,0,38,245,114,133,555,1,24,238,555,246,-1,36,799,45,202,53,157,54,43,81,89,0,True
EUW1_7621501301,15.23.728.3286,420,1777,CLASSIC,0,904,134,246,432,13,1,58,266,114,91,517,63,20,133,22,497,875,238,245,804,902,0,True
EUW1_7621514963,15.23.728.3286,420,1731,CLASSIC,0,238,90,54,61,799,1,432,80,27,800,134,10,246,777,147,12,904,234,112,157,517,0,True
EUW1_7621522008,15.23.728.3286,420,2174,CLASSIC,1,904,432,-1,8,800,0,904,517,84,8,34,79,245,238,202,518,24,234,163,22,3,1,True
