match_id,game_version,queue_id,game_duration,game_mode,team1_win,team1_ban_1,team1_ban_2,team1_ban_3,team1_ban_4,team1_ban_5,team2_win,team2_ban_1,team2_ban_2,team2_ban_3,team2_ban_4,team2_ban_5,team1_top,team1_jungle,team1_mid,team1_adc,team1_support,team2_top,team2_jungle,team2_mid,team2_adc,team2_support,target,has_complete_positions
KR_7907124842,15.22.724.5161,420,926,CLASSIC,1,-1,27,30,61,-1,0,-1,22,35,12,122,799,36,245,21,111,58,48,268,18,526,1,True
KR_7907193248,15.22.724.5161,420,1115,CLASSIC,0,69,84,246,555,27,1,59,246,122,117,238,58,5,134,804,12,799,48,7,22,80,0,True
KR_7907247199,15.22.724.5161,420,1559,CLASSIC,1,84,78,30,432,122,0,246,107,30,81,517,68,59,134,804,44,799,48,112,145,53,1,True
KR_7907339048,15.22.724.5161,420,958,CLASSIC,0,246,107,555,92,142,1,61,-1,143,60,119,799,203,64,800,12,14,104,4,22,412,0,True
KR_7907465068,15.22.724.5161,420,1785,CLASSIC,1,-1,246,518,799,-1,0,30,142,799,236,78,54,104,134,21,89,897,60,126,22,201,1,True
KR_7907575176,15.22.724.5161,420,1659,CLASSIC,0,107,246,236,-1,120,1,119,120,-1,804,2,799,517,166,145,518,68,64,4,221,555,0,True
KR_7907630292,15.22.724.5161,420,919,CLASSIC,1,78,7,51,-1,119,0,-1,517,246,78,64,68,254,61,145,518,887,120,166,498,497,1,True
KR_7907690348,15.22.724.5161,420,1594,CLASSIC,0,-1,-1,78,64,61,1,107,166,-1,555,19,897,11,4,145,111,24,36,103,498,518,0,True
KR_7907712734,15.22.724.5161,420,1741,CLASSIC,1,119,246,7,555,120,0,35,107,64,30,804,23,143,61,22,78,126,517,166,202,89,1,True
KR_7907719380,15.22.724.5161,420,1932,CLASSIC,0,10,246,145,27,517,1,166,74,-1,119,61,58,36,142,22,147,799,234,4,804,518,0,True
KR_7907735298,15.22.724.5161,420,1891,CLASSIC,0,246,51,166,126,119,1,120,119,61,555,13,2,143,799,901,44,8,104,10,22,117,0,True
KR_7907747085,15.22.724.5161,420,1529,CLASSIC,0,119,7,76,107,166,1,107,64,555,27,-1,23,246,142,360,526,897,11,25,221,12,0,True
KR_7907784628,15.22.724.5161,420,1616,CLASSIC,0,120,114,80,89,7,1,104,246,-1,350,60,897,64,134,221,518,799,35,84,15,37,0,True
KR_7907970910,15.22.724.5161,420,1508,CLASSIC,1,122,107,-1,11,555,0,92,11,142,85,126,68,104,61,81,78,24,246,134,202,12,1,True
KR_7907988549,15.22.724.5161,420,2370,CLASSIC,0,64,114,-1,61,246,1,64,119,166,27,142,897,517,799,115,78,164,245,126,145,7,0,True
KR_7908005421,15.22.724.5161,420,914,CLASSIC,1,246,51,555,107,78,0,7,107,10,24,92,421,517,950,119,12,897,11,800,804,201,1,True
KR_7908021358,15.22.724.5161,420,914,CLASSIC,0,64,107,142,126,246,1,7,78,10,107,30,68,254,163,498,497,799,234,61,18,555,0,True
KR_7908036189,15.22.724.5161,420,1024,CLASSIC,0,246,22,432,11,142,1,13,200,11,30,51,421,5,134,145,44,897,64,61,804,518,0,True
